id_store,week,orders
351,2015-10-19 00:00:00+00:00,38
351,2015-10-26 00:00:00+00:00,52
351,2015-11-02 00:00:00+00:00,60
351,2015-11-09 00:00:00+00:00,42
351,2015-11-16 00:00:00+00:00,44
351,2015-11-23 00:00:00+00:00,50
351,2015-11-30 00:00:00+00:00,60
351,2015-12-07 00:00:00+00:00,73
351,2015-12-14 00:00:00+00:00,55
351,2015-12-21 00:00:00+00:00,44
351,2015-12-28 00:00:00+00:00,41
351,2016-01-04 00:00:00+00:00,56
351,2016-01-11 00:00:00+00:00,77
351,2016-01-18 00:00:00+00:00,65
351,2016-01-25 00:00:00+00:00,80
351,2016-02-01 00:00:00+00:00,66
351,2016-02-08 00:00:00+00:00,67
351,2016-02-15 00:00:00+00:00,68
351,2016-02-22 00:00:00+00:00,68
351,2016-02-29 00:00:00+00:00,64
351,2016-03-07 00:00:00+00:00,70
351,2016-03-14 00:00:00+00:00,74
351,2016-03-21 00:00:00+00:00,55
351,2016-03-28 00:00:00+00:00,66
351,2016-04-04 00:00:00+00:00,83
351,2016-04-11 00:00:00+00:00,85
351,2016-04-18 00:00:00+00:00,62
351,2016-04-25 00:00:00+00:00,84
351,2016-05-02 00:00:00+00:00,45
351,2016-05-09 00:00:00+00:00,58
351,2016-05-16 00:00:00+00:00,72
351,2016-05-23 00:00:00+00:00,70
351,2016-05-30 00:00:00+00:00,97
351,2016-06-06 00:00:00+00:00,59
351,2016-06-13 00:00:00+00:00,58
351,2016-06-20 00:00:00+00:00,61
351,2016-06-27 00:00:00+00:00,79
351,2016-07-04 00:00:00+00:00,66
351,2016-07-11 00:00:00+00:00,46
351,2016-07-18 00:00:00+00:00,53
351,2016-07-25 00:00:00+00:00,59
351,2016-08-15 00:00:00+00:00,28
351,2016-08-22 00:00:00+00:00,40
351,2016-08-29 00:00:00+00:00,38
351,2016-09-05 00:00:00+00:00,63
351,2016-09-12 00:00:00+00:00,62
351,2016-09-19 00:00:00+00:00,62
351,2016-09-26 00:00:00+00:00,96
351,2016-10-03 00:00:00+00:00,82
351,2016-10-10 00:00:00+00:00,68
351,2016-10-17 00:00:00+00:00,70
351,2016-10-24 00:00:00+00:00,80
351,2016-10-31 00:00:00+00:00,72
351,2016-11-07 00:00:00+00:00,76
351,2016-11-14 00:00:00+00:00,83
351,2016-11-21 00:00:00+00:00,88
351,2016-11-28 00:00:00+00:00,80
351,2016-12-05 00:00:00+00:00,68
351,2016-12-12 00:00:00+00:00,88
351,2016-12-19 00:00:00+00:00,31
351,2016-12-26 00:00:00+00:00,47
351,2017-01-02 00:00:00+00:00,75
351,2017-01-09 00:00:00+00:00,83
351,2017-01-16 00:00:00+00:00,71
351,2017-01-23 00:00:00+00:00,81
351,2017-01-30 00:00:00+00:00,80
351,2017-02-06 00:00:00+00:00,103
351,2017-02-13 00:00:00+00:00,89
351,2017-02-20 00:00:00+00:00,90
351,2017-02-27 00:00:00+00:00,86
351,2017-03-06 00:00:00+00:00,75
351,2017-03-13 00:00:00+00:00,77
351,2017-03-20 00:00:00+00:00,81
351,2017-03-27 00:00:00+00:00,85
351,2017-04-03 00:00:00+00:00,59
351,2017-04-10 00:00:00+00:00,65
351,2017-04-17 00:00:00+00:00,75
351,2017-04-24 00:00:00+00:00,74
351,2017-05-01 00:00:00+00:00,82
351,2017-05-08 00:00:00+00:00,58
351,2017-05-15 00:00:00+00:00,71
351,2017-05-22 00:00:00+00:00,45
351,2017-05-29 00:00:00+00:00,48
351,2017-06-05 00:00:00+00:00,72
351,2017-06-12 00:00:00+00:00,59
351,2017-06-19 00:00:00+00:00,65
351,2017-06-26 00:00:00+00:00,84
351,2017-07-03 00:00:00+00:00,72
351,2017-07-10 00:00:00+00:00,76
351,2017-07-17 00:00:00+00:00,91
351,2017-07-24 00:00:00+00:00,88
351,2017-08-14 00:00:00+00:00,25
351,2017-08-21 00:00:00+00:00,60
351,2017-08-28 00:00:00+00:00,67
351,2017-09-04 00:00:00+00:00,94
351,2017-09-11 00:00:00+00:00,90
351,2017-09-18 00:00:00+00:00,90
351,2017-09-25 00:00:00+00:00,99
351,2017-10-02 00:00:00+00:00,106
351,2017-10-09 00:00:00+00:00,82
351,2017-10-16 00:00:00+00:00,78
351,2017-10-23 00:00:00+00:00,106
351,2017-10-30 00:00:00+00:00,89
351,2017-11-06 00:00:00+00:00,89
351,2017-11-13 00:00:00+00:00,102
351,2017-11-20 00:00:00+00:00,74
351,2017-11-27 00:00:00+00:00,82
351,2017-12-04 00:00:00+00:00,89
351,2017-12-11 00:00:00+00:00,84
351,2017-12-18 00:00:00+00:00,61
351,2017-12-25 00:00:00+00:00,49
351,2018-01-01 00:00:00+00:00,101
351,2018-01-08 00:00:00+00:00,84
351,2018-01-15 00:00:00+00:00,94
351,2018-01-22 00:00:00+00:00,81
351,2018-01-29 00:00:00+00:00,96
351,2018-02-05 00:00:00+00:00,82
351,2018-02-12 00:00:00+00:00,84
351,2018-02-19 00:00:00+00:00,100
351,2018-02-26 00:00:00+00:00,83
351,2018-03-05 00:00:00+00:00,78
351,2018-03-12 00:00:00+00:00,76
351,2018-03-19 00:00:00+00:00,97
351,2018-03-26 00:00:00+00:00,85
351,2018-04-02 00:00:00+00:00,78
351,2018-04-09 00:00:00+00:00,90
351,2018-04-16 00:00:00+00:00,48
351,2018-04-23 00:00:00+00:00,71
351,2018-04-30 00:00:00+00:00,63
351,2018-05-07 00:00:00+00:00,44
351,2018-05-14 00:00:00+00:00,91
351,2018-05-21 00:00:00+00:00,82
351,2018-05-28 00:00:00+00:00,76
351,2018-06-04 00:00:00+00:00,84
351,2018-06-11 00:00:00+00:00,95
351,2018-06-18 00:00:00+00:00,66
351,2018-06-25 00:00:00+00:00,58
351,2018-07-02 00:00:00+00:00,60
351,2018-07-09 00:00:00+00:00,72
351,2018-07-16 00:00:00+00:00,61
351,2018-07-23 00:00:00+00:00,43
351,2018-07-30 00:00:00+00:00,39
351,2018-08-20 00:00:00+00:00,68
351,2018-08-27 00:00:00+00:00,74
351,2018-09-03 00:00:00+00:00,62
351,2018-09-10 00:00:00+00:00,64
351,2018-09-17 00:00:00+00:00,69
351,2018-09-24 00:00:00+00:00,71
351,2018-10-01 00:00:00+00:00,56
351,2018-10-08 00:00:00+00:00,73
351,2018-10-15 00:00:00+00:00,88
351,2018-10-22 00:00:00+00:00,93
351,2018-10-29 00:00:00+00:00,66
351,2018-11-05 00:00:00+00:00,83
351,2018-11-12 00:00:00+00:00,77
351,2018-11-19 00:00:00+00:00,93
351,2018-11-26 00:00:00+00:00,81
